DATE,DAY_OF_HOLIDAY,HOLIDAY,OUT_OF_OFFICE,DOW_OUT_OF_OFFICE,OUT_OF_OFFICE_WHEN
2039-11-25,Fri,Day After Thanksgiving,2039-11-25,Fri,Day of
2039-12-25,Sun,Christmas Day,2039-12-26,Mon,Monday after
2040-01-01,Sun,New Year's Day,2040-01-02,Mon,Monday after
2040-01-16,Mon,"Martin Luther King, Jr. Day",2040-01-16,Mon,Day of
2040-02-20,Mon,Presidents Day,2040-02-20,Mon,Day of
2040-05-28,Mon,Memorial Day,2040-05-28,Mon,Day of
2040-07-04,Wed,Independence Day,2040-07-04,Wed,Day of
2040-09-03,Mon,Labor Day,2040-09-03,Mon,Day of
2040-11-11,Sun,Veterans Day,2040-11-12,Mon,Monday after
2040-11-22,Thu,Thanksgiving Day,2040-11-22,Thu,Day of
2040-11-23,Fri,Day After Thanksgiving,2040-11-23,Fri,Day of
2040-12-25,Tue,Christmas Day,2040-12-25,Tue,Day of
2041-01-01,Tue,New Year's Day,2041-01-01,Tue,Day of
2041-01-21,Mon,"Martin Luther King, Jr. Day",2041-01-21,Mon,Day of
2041-02-18,Mon,Presidents Day,2041-02-18,Mon,Day of
2041-05-27,Mon,Memorial Day,2041-05-27,Mon,Day of
2041-07-04,Thu,Independence Day,2041-07-04,Thu,Day of
2041-09-02,Mon,Labor Day,2041-09-02,Mon,Day of
2041-11-11,Mon,Veterans Day,2041-11-11,Mon,Day of
2041-11-28,Thu,Thanksgiving Day,2041-11-28,Thu,Day of
2041-11-29,Fri,Day After Thanksgiving,2041-11-29,Fri,Day of
2041-12-25,Wed,Christmas Day,2041-12-25,Wed,Day of
2042-01-01,Wed,New Year's Day,2042-01-01,Wed,Day of
2042-01-20,Mon,"Martin Luther King, Jr. Day",2042-01-20,Mon,Day of
2042-02-17,Mon,Presidents Day,2042-02-17,Mon,Day of
2042-05-26,Mon,Memorial Day,2042-05-26,Mon,Day of
2042-07-04,Fri,Independence Day,2042-07-04,Fri,Day of
2042-09-01,Mon,Labor Day,2042-09-01,Mon,Day of
2042-11-11,Tue,Veterans Day,2042-11-11,Tue,Day of
2042-11-27,Thu,Thanksgiving Day,2042-11-27,Thu,Day of
2042-11-28,Fri,Day After Thanksgiving,2042-11-28,Fri,Day of
2042-12-25,Thu,Christmas Day,2042-12-25,Thu,Day of
2043-01-01,Thu,New Year's Day,2043-01-01,Thu,Day of
2043-01-19,Mon,"Martin Luther King, Jr. Day",2043-01-19,Mon,Day of
2043-02-16,Mon,Presidents Day,2043-02-16,Mon,Day of
2043-05-25,Mon,Memorial Day,2043-05-25,Mon,Day of
2043-07-04,Sat,Independence Day,2043-07-03,Fri,Friday before
2043-09-07,Mon,Labor Day,2043-09-07,Mon,Day of
2043-11-11,Wed,Veterans Day,2043-11-11,Wed,Day of
2043-11-26,Thu,Thanksgiving Day,2043-11-26,Thu,Day of
2043-11-27,Fri,Day After Thanksgiving,2043-11-27,Fri,Day of
2043-12-25,Fri,Christmas Day,2043-12-25,Fri,Day of
2044-01-01,Fri,New Year's Day,2044-01-01,Fri,Day of
2044-01-18,Mon,"Martin Luther King, Jr. Day",2044-01-18,Mon,Day of
2044-02-15,Mon,Presidents Day,2044-02-15,Mon,Day of
2044-05-30,Mon,Memorial Day,2044-05-30,Mon,Day of
2044-07-04,Mon,Independence Day,2044-07-04,Mon,Day of
2044-09-05,Mon,Labor Day,2044-09-05,Mon,Day of
2044-11-11,Fri,Veterans Day,2044-11-11,Fri,Day of
2044-11-24,Thu,Thanksgiving Day,2044-11-24,Thu,Day of
2044-11-25,Fri,Day After Thanksgiving,2044-11-25,Fri,Day of
2044-12-25,Sun,Christmas Day,2044-12-26,Mon,Monday after
2045-01-01,Sun,New Year's Day,2045-01-02,Mon,Monday after
2045-01-16,Mon,"Martin Luther King, Jr. Day",2045-01-16,Mon,Day of
2045-02-20,Mon,Presidents Day,2045-02-20,Mon,Day of
2045-05-29,Mon,Memorial Day,2045-05-29,Mon,Day of
2045-07-04,Tue,Independence Day,2045-07-04,Tue,Day of
2045-09-04,Mon,Labor Day,2045-09-04,Mon,Day of
2028-11-11,Sat,Veterans Day,2028-11-10,Fri,Friday Before
2034-11-11,Sat,Veterans Day,2034-11-10,Fri,Friday Before
2045-11-11,Sat,Veterans Day,2045-11-10,Fri,Friday Before
2045-11-23,Thu,Thanksgiving Day,2045-11-23,Thu,Day of
2045-11-24,Fri,Day After Thanksgiving,2045-11-24,Fri,Day of
2045-12-25,Mon,Christmas Day,2045-12-25,Mon,Day of
2046-01-01,Mon,New Year's Day,2046-01-01,Mon,Day of
2046-01-15,Mon,"Martin Luther King, Jr. Day",2046-01-15,Mon,Day of
2046-02-19,Mon,Presidents Day,2046-02-19,Mon,Day of
2046-05-28,Mon,Memorial Day,2046-05-28,Mon,Day of
2046-07-04,Wed,Independence Day,2046-07-04,Wed,Day of
2046-09-03,Mon,Labor Day,2046-09-03,Mon,Day of
2046-11-11,Sun,Veterans Day,2046-11-12,Mon,Monday after
2046-11-22,Thu,Thanksgiving Day,2046-11-22,Thu,Day of
2046-11-23,Fri,Day After Thanksgiving,2046-11-23,Fri,Day of
2046-12-25,Tue,Christmas Day,2046-12-25,Tue,Day of
2047-01-01,Tue,New Year's Day,2047-01-01,Tue,Day of
2047-01-21,Mon,"Martin Luther King, Jr. Day",2047-01-21,Mon,Day of
2047-02-18,Mon,Presidents Day,2047-02-18,Mon,Day of
2047-05-27,Mon,Memorial Day,2047-05-27,Mon,Day of
2047-07-04,Thu,Independence Day,2047-07-04,Thu,Day of
2047-09-02,Mon,Labor Day,2047-09-02,Mon,Day of
2047-11-11,Mon,Veterans Day,2047-11-11,Mon,Day of
2047-11-28,Thu,Thanksgiving Day,2047-11-28,Thu,Day of
2047-11-29,Fri,Day After Thanksgiving,2047-11-29,Fri,Day of
2047-12-25,Wed,Christmas Day,2047-12-25,Wed,Day of
2048-01-01,Wed,New Year's Day,2048-01-01,Wed,Day of
2048-01-20,Mon,"Martin Luther King, Jr. Day",2048-01-20,Mon,Day of
2048-02-17,Mon,Presidents Day,2048-02-17,Mon,Day of
2048-05-25,Mon,Memorial Day,2048-05-25,Mon,Day of
2048-07-04,Sat,Independence Day,2048-07-03,Fri,Friday before
2048-09-07,Mon,Labor Day,2048-09-07,Mon,Day of
2048-11-11,Wed,Veterans Day,2048-11-11,Wed,Day of
2048-11-26,Thu,Thanksgiving Day,2048-11-26,Thu,Day of
2048-11-27,Fri,Day After Thanksgiving,2048-11-27,Fri,Day of
2048-12-25,Fri,Christmas Day,2048-12-25,Fri,Day of
2049-01-01,Fri,New Year's Day,2049-01-01,Fri,Day of
2049-01-18,Mon,"Martin Luther King, Jr. Day",2049-01-18,Mon,Day of
2049-02-15,Mon,Presidents Day,2049-02-15,Mon,Day of
2049-05-31,Mon,Memorial Day,2049-05-31,Mon,Day of
2049-07-04,Sun,Independence Day,2049-07-05,Mon,Monday after
2049-09-06,Mon,Labor Day,2049-09-06,Mon,Day of
2049-11-11,Thu,Veterans Day,2049-11-11,Thu,Day of
2049-11-25,Thu,Thanksgiving Day,2049-11-25,Thu,Day of
2049-11-26,Fri,Day After Thanksgiving,2049-11-26,Fri,Day of
2049-12-25,Sat,Christmas Day,2049-12-27,Mon,Monday after
2050-01-01,Sat,New Year's Day,2050-01-03,Mon,Monday after
2050-01-17,Mon,"Martin Luther King, Jr. Day",2050-01-17,Mon,Day of
2050-02-21,Mon,Presidents Day,2050-02-21,Mon,Day of
2050-05-30,Mon,Memorial Day,2050-05-30,Mon,Day of
2050-07-04,Mon,Independence Day,2050-07-04,Mon,Day of
2050-09-05,Mon,Labor Day,2050-09-05,Mon,Day of
2050-11-11,Fri,Veterans Day,2050-11-11,Fri,Day of
2050-11-24,Thu,Thanksgiving Day,2050-11-24,Thu,Day of
2050-11-25,Fri,Day After Thanksgiving,2050-11-25,Fri,Day of
2050-12-25,Sun,Christmas Day,2050-12-26,Mon,Monday after
