DATE,DAY_OF_HOLIDAY,HOLIDAY,OUT_OF_OFFICE,DOW_OUT_OF_OFFICE,OUT_OF_OFFICE_WHEN
2009-01-01,Thu,New Year's Day,2009-01-01,Thu,Day of
2009-01-19,Mon,"Martin Luther King, Jr. Day",2009-01-19,Mon,Day of
2009-02-16,Mon,Presidents Day,2009-02-16,Mon,Day of
2009-05-25,Mon,Memorial Day,2009-05-25,Mon,Day of
2009-07-04,Sat,Independence Day,2009-07-03,Fri,Friday before
2009-09-07,Mon,Labor Day,2009-09-07,Mon,Day of
2009-10-12,Mon,Columbus Day,2009-10-12,Mon,Day of
2009-11-26,Thu,Thanksgiving Day,2009-11-26,Thu,Day of
2009-11-27,Fri,Day After Thanksgiving,2009-11-27,Fri,Day of
2009-12-25,Fri,Christmas Day,2009-12-25,Fri,Day of
2010-01-01,Fri,New Year's Day,2010-01-01,Fri,Day of
2010-01-18,Mon,"Martin Luther King, Jr. Day",2010-01-18,Mon,Day of
2010-02-15,Mon,Presidents Day,2010-02-15,Mon,Day of
2010-05-31,Mon,Memorial Day,2010-05-31,Mon,Day of
2010-07-04,Sun,Independence Day,2010-07-05,Mon,Monday after
2010-09-06,Mon,Labor Day,2010-09-06,Mon,Day of
2010-10-11,Mon,Columbus Day,2010-10-11,Mon,Day of
2010-11-25,Thu,Thanksgiving Day,2010-11-25,Thu,Day of
2010-11-26,Fri,Day After Thanksgiving,2010-11-26,Fri,Day of
2010-12-25,Sat,Christmas Day,2010-12-27,Mon,Monday after
2011-01-01,Sat,New Year's Day,2011-01-03,Mon,Monday after
2011-01-17,Mon,"Martin Luther King, Jr. Day",2011-01-17,Mon,Day of
2011-02-21,Mon,Presidents Day,2011-02-21,Mon,Day of
2011-05-30,Mon,Memorial Day,2011-05-30,Mon,Day of
2011-07-04,Mon,Independence Day,2011-07-04,Mon,Day of
2011-09-05,Mon,Labor Day,2011-09-05,Mon,Day of
2011-10-10,Mon,Columbus Day,2011-10-10,Mon,Day of
2011-11-24,Thu,Thanksgiving Day,2011-11-24,Thu,Day of
2011-11-25,Fri,Day After Thanksgiving,2011-11-25,Fri,Day of
2011-12-25,Sun,Christmas Day,2011-12-26,Mon,Monday after
2012-01-01,Sun,New Year's Day,2012-01-02,Mon,Monday after
2012-01-16,Mon,"Martin Luther King, Jr. Day",2012-01-16,Mon,Day of
2012-02-20,Mon,Presidents Day,2012-02-20,Mon,Day of
2012-05-28,Mon,Memorial Day,2012-05-28,Mon,Day of
2012-07-04,Wed,Independence Day,2012-07-04,Wed,Day of
2012-09-03,Mon,Labor Day,2012-09-03,Mon,Day of
2012-10-08,Mon,Columbus Day,2012-10-08,Mon,Day of
2012-11-22,Thu,Thanksgiving Day,2012-11-22,Thu,Day of
2012-11-23,Fri,Day After Thanksgiving,2012-11-23,Fri,Day of
2012-12-25,Tue,Christmas Day,2012-12-25,Tue,Day of
2013-01-01,Tue,New Year's Day,2013-01-01,Tue,Day of
2013-01-21,Mon,"Martin Luther King, Jr. Day",2013-01-21,Mon,Day of
2013-02-18,Mon,Presidents Day,2013-02-18,Mon,Day of
2013-05-27,Mon,Memorial Day,2013-05-27,Mon,Day of
2013-07-04,Thu,Independence Day,2013-07-04,Thu,Day of
2013-09-02,Mon,Labor Day,2013-09-02,Mon,Day of
2013-10-14,Mon,Columbus Day,2013-10-14,Mon,Day of
2013-11-28,Thu,Thanksgiving Day,2013-11-28,Thu,Day of
2013-11-29,Fri,Day After Thanksgiving,2013-11-29,Fri,Day of
2013-12-25,Wed,Christmas Day,2013-12-25,Wed,Day of
2014-01-01,Wed,New Year's Day,2014-01-01,Wed,Day of
2014-01-20,Mon,"Martin Luther King, Jr. Day",2014-01-20,Mon,Day of
2014-02-17,Mon,Presidents Day,2014-02-17,Mon,Day of
2014-05-26,Mon,Memorial Day,2014-05-26,Mon,Day of
2014-07-04,Fri,Independence Day,2014-07-04,Fri,Day of
2014-09-01,Mon,Labor Day,2014-09-01,Mon,Day of
2014-10-13,Mon,Columbus Day,2014-10-13,Mon,Day of
2014-11-27,Thu,Thanksgiving Day,2014-11-27,Thu,Day of
2014-11-28,Fri,Day After Thanksgiving,2014-11-28,Fri,Day of
2014-12-25,Thu,Christmas Day,2014-12-25,Thu,Day of
2015-01-01,Thu,New Year's Day,2015-01-01,Thu,Day of
2015-01-19,Mon,"Martin Luther King, Jr. Day",2015-01-19,Mon,Day of
2015-02-16,Mon,Presidents Day,2015-02-16,Mon,Day of
2015-05-25,Mon,Memorial Day,2015-05-25,Mon,Day of
2015-07-04,Sat,Independence Day,2015-07-03,Fri,Friday before
2015-09-07,Mon,Labor Day,2015-09-07,Mon,Day of
2015-10-12,Mon,Columbus Day,2015-10-12,Mon,Day of
2015-11-26,Thu,Thanksgiving Day,2015-11-26,Thu,Day of
2015-11-27,Fri,Day After Thanksgiving,2015-11-27,Fri,Day of
2015-12-25,Fri,Christmas Day,2015-12-25,Fri,Day of
2016-01-01,Fri,New Year's Day,2016-01-01,Fri,Day of
2016-01-18,Mon,"Martin Luther King, Jr. Day",2016-01-18,Mon,Day of
2016-02-15,Mon,Presidents Day,2016-02-15,Mon,Day of
2016-05-30,Mon,Memorial Day,2016-05-30,Mon,Day of
2016-07-04,Mon,Independence Day,2016-07-04,Mon,Day of
2016-09-05,Mon,Labor Day,2016-09-05,Mon,Day of
2016-10-10,Mon,Columbus Day,2016-10-10,Mon,Day of
2016-11-24,Thu,Thanksgiving Day,2016-11-24,Thu,Day of
2016-11-25,Fri,Day After Thanksgiving,2016-11-25,Fri,Day of
2016-12-25,Sun,Christmas Day,2016-12-26,Mon,Monday after
2017-01-01,Sun,New Year's Day,2017-01-02,Mon,Monday after
2017-01-16,Mon,"Martin Luther King, Jr. Day",2017-01-16,Mon,Day of
2017-02-20,Mon,Presidents Day,2017-02-20,Mon,Day of
2017-05-29,Mon,Memorial Day,2017-05-29,Mon,Day of
